DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
71535,RED DE INGENIERIA S.A.S.,804012847-1,52,NARI�O,52110,BUESACO,52110030,CORREGIMIENTO SANTAFE,EN OPERACI�N,"1,36000000","-77,04306000",2019-12-13,2021-09-12,2021-02-22,2021-12-31,177,"650,91",1,9,"27007800,00"
71899,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73675,SAN ANTONIO,73675000,EL SILENCIO,EN OPERACI�N,"4,09667000","-75,39028000",2019-11-30,2021-08-29,2021-02-22,2021-12-31,924,"267,65",1,9,"27007800,00"
72184,RED DE INGENIERIA S.A.S.,804012847-1,25,CUNDINAMARCA,25815,TOCAIMA,25815007,LA COLORADA,EN OPERACI�N,"4,45000000","-74,66555556",2020-08-08,1900-01-01,2021-02-22,2021-12-31,117,"299,27",1,9,"27007800,00"
72131,RED DE INGENIERIA S.A.S.,804012847-1,20,CESAR,20032,ASTREA,20032000,VDA LA PUERTA,EN OPERACI�N,"9,57194444","-73,92638889",2020-08-08,1900-01-01,2021-02-22,2021-12-31,154,"70,36",1,9,"27007800,00"
72373,RED DE INGENIERIA S.A.S.,804012847-1,85,CASANARE,85410,TAURAMENA,85410028,VEREDA EL PALMAR,EN OPERACI�N,"4,98444444","-72,80111111",2020-08-20,1900-01-01,2021-02-22,2021-12-31,97,"109,47",1,9,"27007800,00"
71395,RED DE INGENIERIA S.A.S.,804012847-1,25,CUNDINAMARCA,25324,GUATAQUI,25324000,CAMPO ALEGRE,EN OPERACI�N,"4,58222000","-74,78750000",2019-12-09,2021-09-08,2021-02-22,2021-12-31,44,"200,34",1,9,"27007800,00"
72002,RED DE INGENIERIA S.A.S.,804012847-1,05,ANTIOQUIA,05665,SAN PEDRO DE URABA,5665000,VEREDA SAN JUANCITO MEDIO,EN OPERACI�N,"8,39694000","-76,31722000",2019-12-02,2021-09-01,2021-02-22,2021-12-31,366,"101,39",1,9,"27007800,00"
71885,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73624,ROVIRA,73624004,RIOMANSO,EN OPERACI�N,"4,26972000","-75,29583000",2019-12-05,2021-09-04,2021-02-22,2021-12-31,434,"309,81",1,9,"27007800,00"
71570,RED DE INGENIERIA S.A.S.,804012847-1,52,NARI�O,52838,TUQUERRES,52838000,CORREGIMIENTO POLACHAYAN,EN OPERACI�N,"1,12417000","-77,63583000",2019-12-13,2021-09-12,2021-02-22,2021-12-31,459,"342,73",1,9,"27007800,00"
72397,EMTEL,891502163-1,81,ARAUCA,81001,ARAUCA,81001019,NUBES A,EN OPERACI�N,"6,94361100","-71,03927000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
72423,EMTEL,891502163-1,18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753000,CORREGIMIENTO LOS POZOS,EN OPERACI�N,"2,12267200","-74,55599000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
71227,RED DE INGENIERIA S.A.S.,804012847-1,19,CAUCA,19517,PAEZ,19517006,HUILA,EN OPERACI�N,"2,72638000","-74,12833000",2020-07-05,1900-01-01,2021-02-22,2021-12-31,430,"213,73",1,9,"27007800,00"
71624,RED DE INGENIERIA S.A.S.,804012847-1,66,RISARALDA,66075,BALBOA,66075000,LA FLORESTA,EN OPERACI�N,"4,91917000","-75,98222000",2019-12-09,2021-09-08,2021-02-22,2021-12-31,101,"225,63",1,9,"27007800,00"
71714,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68615,RIONEGRO,68615002,VEREDA EL DIAMANTE,EN OPERACI�N,"7,42083000","-73,18917000",2019-12-09,2021-09-08,2021-02-22,2021-12-31,62,"159,93",1,9,"27007800,00"
72383,EMTEL,891502163-1,91,AMAZONAS,91001,LETICIA,91001006,SAN SEBASTIAN,EN OPERACI�N,"-4,17558900","-69,95380000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
71362,RED DE INGENIERIA S.A.S.,804012847-1,23,CORDOBA,23686,SAN PELAYO,23686034,MORROCOY,EN OPERACI�N,"8,96778000","-75,99028000",2019-12-05,2021-09-04,2021-02-22,2021-12-31,275,"250,57",1,9,"27007800,00"
72495,EMTEL,891502163-1,27,CHOCO,27810,UNION PANAMERICANA,27810000,RASPADURA,EN OPERACI�N,"5,22388900","-76,64389000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
72304,RED DE INGENIERIA S.A.S.,804012847-1,70,SUCRE,70400,LA UNION,70400000,VEREDA EL PAISAJE,EN OPERACI�N,"8,80694444","-75,34472222",2020-08-10,1900-01-01,2021-02-22,2021-12-31,547,"115,72",1,9,"27007800,00"
71862,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73504,ORTEGA,73504000,CHAPINERO,EN OPERACI�N,"3,48222000","-75,25944000",2019-11-27,2021-08-26,2021-02-22,2021-12-31,662,"81,74",1,9,"27007800,00"
71869,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73504,ORTEGA,73504000,CHAPINERO,EN OPERACI�N,"3,48222000","-75,25944000",2019-12-13,2021-09-12,2021-02-22,2021-12-31,170,"81,25",1,9,"27007800,00"
71274,RED DE INGENIERIA S.A.S.,804012847-1,20,CESAR,20383,LA GLORIA,20383005,SIMA�A,EN OPERACI�N,"8,61194000","-73,73166000",2020-01-24,2021-10-23,2021-02-22,2021-12-31,323,"174,91",1,9,"27007800,00"
